"article_ID","journal","subject_area","subject_category"
"23803","","",""
"23804","","",""
"23805","","",""
"23806","","",""
"23807","","",""
"23808","","",""
"23809","","",""
"23810","","",""
"23811","","",""
"23812","","",""
"23813","","",""
"23814","","",""
"23815","","",""
"23816","","",""
"23817","","",""
"23818","","",""
"23819","","",""
"23820","","",""
"23821","","",""
"23822","","",""
"23823","","",""
"23824","","",""
"23825","","",""
"23826","","",""
"23827","","",""
"23828","","",""
"23829","","",""
"23830","","",""
"23831","","",""
"23832","","",""
"23833","","",""
"23834","","",""
"23835","","",""
"23836","","",""
"23837","","",""
"23838","","",""
"23839","","",""
"23840","","",""
"23841","","",""
"23842","","",""
"23843","","",""
"23844","","",""
"23845","","",""
"23846","","",""
"23847","","",""
"23848","","",""
"23849","","",""
"23850","","",""
"23851","","",""
"23852","","",""
"23853","","",""
"23854","","",""
"23855","","",""
"23856","","",""
"23857","","",""
"23858","","",""
"23859","","",""
"23860","","",""
"23861","","",""
"23862","","",""
"23863","","",""
"23864","","",""
"23865","","",""
"23866","","",""
"23867","","",""
"23868","","",""
"23869","","",""
"23870","","",""
"23871","","",""
"23872","","",""
"23873","","",""
"23874","","",""
"23875","","",""
"23876","","",""
"23877","","",""
"23878","","",""
"23879","","",""
"23880","","",""
"23881","","",""
"23882","","",""
"23883","","",""
"23884","","",""
"23885","","",""
"23886","","",""
"23887","","",""
"23888","","",""
"23889","","",""
"23890","","",""
"23891","","",""
"23892","","",""
"23893","","",""
"23894","","",""
"23895","","",""
"23896","","",""
"23897","","",""
"23898","","",""
"23899","","",""
"23900","","",""
"23901","","",""
"23902","","",""
"23903","","",""
"23904","","",""
"23905","","",""
"23906","","",""
"23907","","",""
"23908","","",""
"23909","","",""
"23910","","",""
"23911","","",""
"23912","","",""
"23913","","",""
"23914","","",""
"23915","","",""
"23916","","",""
"23917","","",""
"23918","","",""
"23919","","",""
"23920","","",""
"23921","","",""
"23922","","",""
"23923","","",""
"23924","","",""
"23925","","",""
"23926","","",""
"23927","","",""
"23928","","",""
"23929","","",""
"23930","","",""
"23931","","",""
"23932","","",""
"23933","","",""
"23934","","",""
"23935","","",""
"23936","","",""
"23937","","",""
"23938","","",""
"23939","","",""
"23940","","",""
"23941","","",""
"23942","","",""
"23943","","",""
"23944","","",""
"23945","","",""
"23946","","",""
"23947","","",""
"23948","","",""
"23949","","",""
"23950","","",""
"23951","","",""
"23952","","",""
"23953","","",""
"23954","","",""
"23955","","",""
"23956","","",""
"23957","","",""
"23958","","",""
"23959","","",""
"23960","","",""
"23961","","",""
"23962","","",""
"23963","","",""
"23964","","",""
"23965","","",""
"23966","","",""
"23967","","",""
"23968","","",""
"23969","","",""
"23970","","",""
"23971","","",""
"23972","","",""
"23973","","",""
"23974","","",""
"23975","","",""
"23976","","",""
"23977","","",""
"23978","","",""
"23979","","",""
"23980","","",""
"23981","","",""
"23982","","",""
"23983","","",""
"23984","","",""
"23985","","",""
"23986","","",""
"23987","","",""
"23988","","",""
"23989","","",""
"23990","","",""
"23991","","",""
"23992","","",""
"23993","","",""
"23994","","",""
"23995","","",""
"23996","","",""
"23997","","",""
"23998","","",""
"23999","","",""
"24000","","",""
"24001","","",""
"24002","","",""
"24003","","",""
"24004","","",""
"24005","","",""
"24006","","",""
"24007","","",""
"24008","","",""
"24009","","",""
"24010","","",""
"24011","","",""
"24012","","",""
"24013","","",""
"24014","","",""
"24015","","",""
"24016","","",""
"24017","","",""
"24018","","",""
"24019","","",""
"24020","","",""
"24021","","",""
"24022","","",""
"24023","","",""
"24024","","",""
"24025","","",""
"24026","","",""
"24027","","",""
"24028","","",""
"24029","","",""
"24030","","",""
"24031","","",""
"24032","","",""
"24033","","",""
"24034","","",""
"24035","","",""
"24036","","",""
"24037","","",""
"24038","","",""
"24039","","",""
"24040","","",""
"24041","","",""
"24042","","",""
"24043","","",""
"24044","","",""
"24045","","",""
"24046","","",""
"24047","","",""
"24048","","",""
"24049","","",""
"24050","","",""
"24051","","",""
"24052","","",""
"24053","","",""
"24054","","",""
"24055","","",""
"24056","","",""
"24057","","",""
"24058","","",""
"24059","","",""
"24060","","",""
"24061","","",""
"24062","","",""
"24063","","",""
"24064","","",""
"24065","","",""
"24066","","",""
"24067","","",""
"24068","","",""
"24069","","",""
"24070","","",""
"24071","","",""
"24072","","",""
"24073","","",""
"24074","","",""
"24075","","",""
"24076","","",""
"24077","","",""
"24078","","",""
"24079","","",""
"24080","","",""
"24081","","",""
"24082","","",""
"24083","","",""
"24084","","",""
"24085","","",""
"24086","","",""
"24087","","",""
"24088","","",""
"24089","","",""
"24090","","",""
"24091","","",""
"24092","","",""
"24093","","",""
"24094","","",""
"24095","","",""
"24096","","",""
"24097","","",""
"24098","","",""
"24099","","",""
"24100","","",""
"24101","","",""
"24102","","",""
"24103","","",""
"24104","","",""
"24105","","",""
"24106","","",""
"24107","","",""
"24108","","",""
"24109","","",""
"24110","","",""
"24111","","",""
"24112","","",""
"24113","","",""
"24114","","",""
"24115","","",""
"24116","","",""
"24117","","",""
"24118","","",""
"24119","","",""
"24120","","",""
"24121","","",""
"24122","","",""
"24123","","",""
"24124","","",""
"24125","","",""
"24126","","",""
"24127","","",""
"24128","","",""
"24129","","",""
"24130","","",""
"24131","","",""
"24132","","",""
"24133","","",""
"24134","","",""
"24135","","",""
"24136","","",""
"24137","","",""
"24138","","",""
"24139","","",""
"24140","","",""
"24141","","",""
"24142","","",""
"24143","","",""
"24144","","",""
"24145","","",""
"24146","","",""
"24147","","",""
"24148","","",""
"24149","","",""
"24150","","",""
"24151","","",""
"24152","","",""
"24153","","",""
"24154","","",""
"24155","","",""
"24156","","",""
"24157","","",""
"24158","","",""
"24159","","",""
"24160","","",""
"24161","","",""
"24162","","",""
"24163","","",""
"24164","","",""
"24165","","",""
"24166","","",""
"24167","","",""
"24168","","",""
"24169","","",""
"24170","","",""
"24171","","",""
"24172","","",""
"24173","","",""
"24174","","",""
"24175","","",""
"24176","","",""
"24177","","",""
"24178","","",""
"24179","","",""
"24180","","",""
"24181","","",""
"24182","","",""
"24183","","",""
"24184","","",""
"24185","","",""
"24186","","",""
"24187","","",""
"24188","","",""
"24189","","",""
"24190","","",""
"24191","","",""
"24192","","",""
"24193","","",""
"24194","","",""
"24195","","",""
"24196","","",""
"24197","","",""
"24198","","",""
"24199","","",""
"24200","","",""
"24201","","",""
"24202","","",""
"24203","","",""
"24204","","",""
"24205","","",""
"24206","","",""
"24207","","",""
"24208","","",""
"24209","","",""
"24210","","",""
"24211","","",""
"24212","","",""
"24213","","",""
"24214","","",""
"24215","","",""
"24216","","",""
"24217","","",""
"24218","","",""
"24219","","",""
"24220","","",""
"24221","","",""
"24222","","",""
"24223","","",""
"24224","","",""
"24225","","",""
"24226","","",""
"24227","","",""
"24228","","",""
"24229","","",""
"24230","","",""
"24231","","",""
"24232","","",""
"24233","","",""
"24234","","",""
"24235","","",""
"24236","","",""
"24237","","",""
"24238","","",""
"24239","","",""
"24240","","",""
"24241","","",""
"24242","","",""
"24243","","",""
"24244","","",""
"24245","","",""
"24246","","",""
"24247","","",""
"24248","","",""
"24249","","",""
"24250","","",""
"24251","","",""
"24252","","",""
"24253","","",""
"24254","","",""
"24255","","",""
"24256","","",""
"24257","","",""
"24258","","",""
"24259","","",""
"24260","","",""
"24261","","",""
"24262","","",""
"24263","","",""
"24264","","",""
"24265","","",""
"24266","","",""
"24267","","",""
"24268","","",""
"24269","","",""
"24270","","",""
"24271","","",""
"24272","","",""
"24273","","",""
"24274","","",""
"24275","","",""
"24276","","",""
"24277","","",""
"24278","","",""
"24279","","",""
"24280","","",""
"24281","","",""
"24282","","",""
"24283","","",""
"24284","","",""
"24285","","",""
"24286","","",""
"24287","","",""
"24288","","",""
"24289","","",""
